id2,periodical,id1,TYPE
3001,中国农业科学,20001,include
3002,畜牧兽医学报,20002,include
3003,动物营养学报,20003,include
3004,北方牧业,20004,include
3003,动物营养学报,20005,include
3003,动物营养学报,20006,include
3003,动物营养学报,20007,include
3003,动物营养学报,20008,include
3003,动物营养学报,20009,include
3003,动物营养学报,20010,include
3003,动物营养学报,20011,include
3005,饲料研究,20012,include
3006,中国兽医杂志,20013,include
3005,饲料研究,20014,include
3007,第十一届全国家畜环境科学讨论会论文集,20015,include
3003,动物营养学报,20016,include
3003,动物营养学报,20017,include
3006,中国兽医杂志,20018,include
3003,动物营养学报,20019,include
3008,中国饲料,20020,include
3009,饲料博览,20021,include
3010,中国动物保健,20022,include
3003,动物营养学报,20023,include
3003,动物营养学报,20024,include
3003,动物营养学报,20025,include
3011,现代化畜牧生产环境与环境管理（五）——第八届全国家畜环境科学讨论会论文集,20026,include
3011,现代化畜牧生产环境与环境管理（五）——第八届全国家畜环境科学讨论会论文集,20027,include
3009,饲料博览,20028,include
3001,中国农业科学,20029,include
3002,畜牧兽医学报,20030,include
3002,畜牧兽医学报,20031,include
3002,畜牧兽医学报,20032,include
3012,中国家禽,20033,include
3012,中国家禽,20034,include
3002,畜牧兽医学报,20035,include
3002,畜牧兽医学报,20036,include
3012,中国家禽,20037,include
3013,中国畜牧业,20038,include
3012,中国家禽,20039,include
3014,中国畜牧兽医,20040,include
3015,中国禽业导刊,20041,include
3015,中国禽业导刊,20042,include
3016,中国农业科学院北京畜牧兽医研究所;北京康普森生物技术有限公司;佛山市高明区新广农牧有限公司,20043,include
3002,畜牧兽医学报,20044,include
3014,中国畜牧兽医,20045,include
3017,兽医导刊,20046,include
3002,畜牧兽医学报,20047,include
3014,中国畜牧兽医,20048,include
3018,饲料与畜牧,20049,include
3012,中国家禽,20050,include
3019,中国畜牧兽医学会2018年学术年会禽病学分会第十九次学术研讨会论文集,20051,include
3020,第六届（2018）中国黄羽肉鸡行业发展大会论文集,20052,include
3012,中国家禽,20053,include
3021,第五届（2018）全球肉鸡产业研讨会暨第六届中国白羽肉鸡产业发展大会论文集,20054,include
3014,中国畜牧兽医,20055,include
3014,中国畜牧兽医,20056,include
3004,北方牧业,20057,include
3012,中国家禽,20058,include
3015,中国禽业导刊,20059,include
3022,浙江农业学报,20060,include
3002,畜牧兽医学报,20061,include
3023,广西金陵农牧集团有限公司,20062,include
3002,畜牧兽医学报,20063,include
3001,中国农业科学,20064,include
3002,畜牧兽医学报,20065,include
3014,中国畜牧兽医,20066,include
3002,畜牧兽医学报,20067,include
3017,兽医导刊,20068,include
3004,北方牧业,20069,include
3002,畜牧兽医学报,20070,include
3024,中国畜牧杂志,20071,include
3002,畜牧兽医学报,20072,include
3025,安徽农业大学学报,20073,include
3026,第四届（2014）中国黄羽肉鸡行业发展大会会刊,20074,include
3014,中国畜牧兽医,20075,include
3004,北方牧业,20076,include
3001,中国农业科学,20077,include
3003,动物营养学报,20078,include
3027,今日畜牧兽医,20079,include
3004,北方牧业,20080,include
3012,中国家禽,20081,include
3002,畜牧兽医学报,20082,include
3028,第四届（2014）中国白羽肉鸡产业发展大会暨第三届全球肉鸡产业研讨会会刊,20083,include
3012,中国家禽,20084,include
3012,中国家禽,20085,include
3002,畜牧兽医学报,20086,include
3012,中国家禽,20087,include
3003,动物营养学报,20088,include
3024,中国畜牧杂志,20089,include
3004,北方牧业,20090,include
3003,动物营养学报,20091,include
3029,中国畜牧兽医学会家禽学分会第九次代表会议暨第十六次全国家禽学术讨论会论文集,20092,include
3029,中国畜牧兽医学会家禽学分会第九次代表会议暨第十六次全国家禽学术讨论会论文集,20093,include
3012,中国家禽,20094,include
3002,畜牧兽医学报,20095,include
3002,畜牧兽医学报,20096,include
3002,畜牧兽医学报,20097,include
3030,中国畜牧兽医学会动物营养学分会第十一次全国动物营养学术研讨会论文集,20098,include
3031,第三届（2012）中国黄羽肉鸡行业发展大会会刊,20099,include
3031,第三届（2012）中国黄羽肉鸡行业发展大会会刊,20100,include
3001,中国农业科学,20101,include
3024,中国畜牧杂志,20102,include
3012,中国家禽,20103,include
3024,中国畜牧杂志,20104,include
3012,中国家禽,20105,include
3032,生物信息学,20106,include
3033,生物技术通讯,20107,include
3002,畜牧兽医学报,20108,include
3034,安全优质的家禽生产——第十五次全国家禽学术讨论会论文集,20109,include
3035,四川农业大学学报,20110,include
3036,中国农业科学院北京畜牧兽医研究所;华中农业大学;北京百年栗园生态农业有限公司;山东农业大学;广西参皇养殖集团有限公司;北京市畜牧总站;湖北欣华生态畜禽开发有限公司,20111,include
3012,中国家禽,20112,include
3024,中国畜牧杂志,20113,include
3003,动物营养学报,20114,include
3037,第十二次全国畜禽遗传标记研讨会论文集,20115,include
3038,第二届中国黄羽肉鸡行业发展大会会刊,20116,include
3039,第六次全国饲料营养学术研讨会论文集,20117,include
3040,中国农学通报,20118,include
3025,安徽农业大学学报,20119,include
3041,全球肉鸡产业论坛暨第二届中国白羽肉鸡产业发展大会会刊,20120,include
3002,畜牧兽医学报,20121,include
3042,中国动物遗传育种研究进展——第十五次全国动物遗传育种学术讨论会论文集,20122,include
3042,中国动物遗传育种研究进展——第十五次全国动物遗传育种学术讨论会论文集,20123,include
3004,北方牧业,20124,include
3003,动物营养学报,20125,include
3014,中国畜牧兽医,20126,include
3002,畜牧兽医学报,20127,include
3025,安徽农业大学学报,20128,include
3043,中国家禽科学研究进展——第十四次全国家禽科学学术讨论会论文集,20129,include
3014,中国畜牧兽医,20130,include
3002,畜牧兽医学报,20131,include
3014,中国畜牧兽医,20132,include
3044,中国畜牧兽医学会动物营养学分会第十次学术研讨会论文集,20133,include
3044,中国畜牧兽医学会动物营养学分会第十次学术研讨会论文集,20134,include
3044,中国畜牧兽医学会动物营养学分会第十次学术研讨会论文集,20135,include
