Periodical,id,attribute
中国农业科学,3001,期刊
畜牧兽医学报,3002,期刊
动物营养学报,3003,期刊
北方牧业,3004,期刊
饲料研究,3005,期刊
中国兽医杂志,3006,期刊
第十一届全国家畜环境科学讨论会论文集,3007,中国会议
中国饲料,3008,期刊
饲料博览,3009,期刊
中国动物保健,3010,期刊
现代化畜牧生产环境与环境管理（五）——第八届全国家畜环境科学讨论会论文集,3011,中国会议
中国家禽,3012,期刊
中国畜牧业,3013,期刊
中国畜牧兽医,3014,期刊
中国禽业导刊,3015,期刊
中国农业科学院北京畜牧兽医研究所;北京康普森生物技术有限公司;佛山市高明区新广农牧有限公司,3016,科技成果
兽医导刊,3017,期刊
饲料与畜牧,3018,期刊
中国畜牧兽医学会2018年学术年会禽病学分会第十九次学术研讨会论文集,3019,中国会议
第六届（2018）中国黄羽肉鸡行业发展大会论文集,3020,中国会议
第五届（2018）全球肉鸡产业研讨会暨第六届中国白羽肉鸡产业发展大会论文集,3021,中国会议
浙江农业学报,3022,期刊
广西金陵农牧集团有限公司,3023,科技成果
中国畜牧杂志,3024,期刊
安徽农业大学学报,3025,期刊
第四届（2014）中国黄羽肉鸡行业发展大会会刊,3026,中国会议
今日畜牧兽医,3027,期刊
第四届（2014）中国白羽肉鸡产业发展大会暨第三届全球肉鸡产业研讨会会刊,3028,国际会议
中国畜牧兽医学会家禽学分会第九次代表会议暨第十六次全国家禽学术讨论会论文集,3029,中国会议
中国畜牧兽医学会动物营养学分会第十一次全国动物营养学术研讨会论文集,3030,中国会议
第三届（2012）中国黄羽肉鸡行业发展大会会刊,3031,中国会议
生物信息学,3032,期刊
生物技术通讯,3033,期刊
安全优质的家禽生产——第十五次全国家禽学术讨论会论文集,3034,中国会议
四川农业大学学报,3035,期刊
中国农业科学院北京畜牧兽医研究所;华中农业大学;北京百年栗园生态农业有限公司;山东农业大学;广西参皇养殖集团有限公司;北京市畜牧总站;湖北欣华生态畜禽开发有限公司,3036,科技成果
第十二次全国畜禽遗传标记研讨会论文集,3037,中国会议
第二届中国黄羽肉鸡行业发展大会会刊,3038,中国会议
第六次全国饲料营养学术研讨会论文集,3039,中国会议
中国农学通报,3040,期刊
全球肉鸡产业论坛暨第二届中国白羽肉鸡产业发展大会会刊,3041,中国会议
中国动物遗传育种研究进展——第十五次全国动物遗传育种学术讨论会论文集,3042,中国会议
中国家禽科学研究进展——第十四次全国家禽科学学术讨论会论文集,3043,中国会议
中国畜牧兽医学会动物营养学分会第十次学术研讨会论文集,3044,中国会议
家禽营养与饲料科技进展——第二届全国家禽营养与饲料科技研讨会论文集,3045,中国会议
福建农业学报,3046,期刊
食品科学,3047,期刊
遗传,3048,期刊
黑龙江畜牧兽医,3049,期刊
动物营养研究进展论文集,3050,中国会议
全国首届动物生物技术学术研讨会论文集,3051,中国会议
广东省农业科学院畜牧研究所;中国农业科学院饲料研究所;中国农业大学动物科技学院;中国农业科学院畜牧研究所;湖南省农业大学畜牧水产系,3052,科技成果
饲料营养研究进展——中国畜牧兽医学会动物营养学分会第四届全国饲料营养学术研讨会论文集,3053,中国会议
中国农业大学学报,3054,期刊
农业机械学报,3055,期刊
国家市场监督管理总局;国家标准化管理委员会,3056,国家标准
农业工程学报,3057,期刊
华南农业大学学报,3058,期刊
家畜生态学报,3059,期刊
中国农业大学;广州广兴牧业设备集团有限公司;山东民和牧业股份有限公司;北京德青源农业科技股份有限公司;青岛大牧人机械股份有限公司;河北农业大学,3060,科技成果
湖北益通建设股份有限公司;湖北益通建设股份有限公司,3061,科技成果
第八届全国畜牧兽医青年科技工作者学术研讨会论文集,3062,中国会议
中国中医骨伤科杂志,3063,期刊
中国畜牧兽医学会2009学术年会论文集（下册）,3064,中国会议
纪念中国农业工程学会成立30周年暨中国农业工程学会2009年学术年会（CSAE 2009）论文集,3065,中国会议
2007年中国农业工程学会学术年会论文摘要集,3066,中国会议
江苏通信,3067,期刊
粮食与饲料工业,3068,期刊
山东滨州博海科技研发中心,3069,科技成果
中国兽医学报,3070,期刊
中国畜牧兽医学会动物解剖学及组织胚胎学分会第十五次学术研讨会论文集,3071,中国会议
河南农业大学,3072,硕士
河南农业科学,3073,期刊
西北农林科技大学学报(自然科学版),3074,期刊
中国畜牧兽医学会动物解剖学及组织胚胎学分会第十四次学术研讨会论文集,3075,中国会议
养禽与禽病防治,3076,期刊
畜牧兽医杂志,3077,期刊
河南畜牧兽医,3078,期刊
饲料工业,3079,期刊
湖南农业,3080,期刊
湖南畜牧兽医,3081,期刊
湖南农业大学学报(自然科学版),3082,期刊
湖南饲料,3083,期刊
良好农业规范与畜牧业健康发展——中国畜牧兽医学会家畜生态学分会第六届理事会暨学术研讨会论文集,3084,中国会议
广东饲料,3085,期刊
动物营养与饲料研究——第五届全国饲料营养学术研讨会论文集,3086,中国会议
饲料世界,3087,期刊
江西饲料,3088,期刊
养殖技术顾问,3089,期刊
中国畜牧兽医文摘,3090,期刊
家禽科学,3091,期刊
山西农业大学学报(自然科学版),3092,期刊
2016北京论坛·中国畜牧饲料科技未来20年论文集,3093,中国会议
第七届中国饲料营养学术研讨会论文集,3094,中国会议
第三届（2012）中国白羽肉鸡产业发展大会暨第二届全球肉鸡产业论坛会刊,3095,国际会议
中国畜牧兽医学会2011年学术年会论文集,3096,中国会议
甘肃农业大学学报,3097,期刊
中华人民共和国国家质量监督检验检疫总局;中国国家标准化管理委员会,3098,国家标准
上海畜牧兽医通讯,3099,期刊
中国畜牧兽医学会家畜生态学分会第七届全国代表大会暨学术研讨会论文集,3100,中国会议
安徽农业科学,3101,期刊
饲料营养研究进展——第五届全国饲料营养学术研讨会论文集,3102,中国会议
畜牧与兽医,3103,期刊
中国农业大学动物科技学院,3104,科技成果
中国畜牧兽医学会动物营养学分会——第九届学术研讨会论文集,3105,中国会议
河北畜牧兽医,3106,期刊
第四届全国饲料营养学术研讨会论文集,3107,中国会议
广西金陵农牧集团有限公司;中国农业科学院北京畜牧兽医研究所;广西壮族自治区畜牧研究所,3108,科技成果
东北农业大学;中国农业大学;华南农业大学;中国农业科学院北京畜牧兽医研究所;北京市华都峪口禽业有限责任公司;山东龙盛农牧集团有限公司,3109,科技成果
西昌学院学报(自然科学版),3110,期刊
营养学报,3111,期刊
中国畜牧兽医学会2008年学术年会暨第六届全国畜牧兽医青年科技工作者学术研讨会论文集,3112,中国会议
中国生物化学与分子生物学报,3113,期刊
中国家禽业——机遇与挑战——第十三次全国家禽学术讨论会论文集,3114,中国会议
中国农业大学学报,3115,期刊
畜禽业,3116,期刊
沈阳农业大学学报,3117,期刊
青海畜牧兽医杂志,3118,期刊
中国沼气,3119,期刊
世界动物福利科学大会论文集,3120,国际会议
中国农业大学;广州广兴牧业设备集团有限公司;山东民和牧业股份有限公司;中国农业科学院农业环境与可持续发展研究所;青岛大牧人机械股份有限公司;北京德清源农业科技股份有限公司,3121,科技成果
生态环境与畜牧业可持续发展学术研讨会暨中国畜牧兽医学会2012年学术年会和第七届全国畜牧兽医青年科技工作者学术研讨会会议论文集——T01畜舍环境与调控技术专题,3122,中国会议
第五届中国畜牧科技论坛论文集,3123,中国会议
食品科技,3124,期刊
动物学研究,3125,期刊
